Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,raster_order,runtime_input_datatype_a,runtime_input_datatype_b,use_pdl,enable_sm90_mixed_dtype_shuffle_test,swizzle_size,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_nn_align1,passed,success,universal,4096,4096,4096,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,1,1,1,2,4,2,1,1,1,1,50,1024,201326592,137472507904,682,3.54462,52.8971,38783.4
1,CUTLASS,gemm,cutlass_simt_sgemm_128x64_8x2_nn_align1,passed,success,universal,4096,4096,4096,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,64,8,1,1,1,1,1,1,2,2,2,1,1,1,1,50,1024,201326592,137472507904,682,5.24082,35.7768,26231.1
1,CUTLASS,gemm,cutlass_simt_sgemm_64x128_8x2_nn_align1,passed,success,universal,4096,4096,4096,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,64,128,8,1,1,1,1,1,1,2,2,2,1,1,1,1,50,1024,201326592,137472507904,682,3.53608,53.0249,38877.1
1,CUTLASS,gemm,cutlass_simt_sgemm_64x64_8x2_nn_align1,passed,success,universal,4096,4096,4096,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,64,64,8,1,1,1,1,1,1,2,2,1,1,1,1,1,50,1024,201326592,137472507904,682,5.11493,36.6574,26876.7
1,CUTLASS,gemm,cutlass_simt_sgemm_128x32_8x2_nn_align1,passed,success,universal,4096,4096,4096,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,32,8,1,1,1,1,1,1,2,2,1,1,1,1,1,50,1024,201326592,137472507904,682,6.86979,27.2934,20011.2
1,CUTLASS,gemm,cutlass_simt_sgemm_32x128_8x2_nn_align1,passed,success,universal,4096,4096,4096,f32:column,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,32,128,8,1,1,1,1,1,1,2,1,2,1,1,1,1,50,1024,201326592,137472507904,682,4.011,46.7465,34273.9
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_nt_align1,passed,success,universal,4096,4096,4096,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,1,1,1,2,4,2,1,1,1,1,50,1024,201326592,137472507904,682,3.44489,54.4284,39906.2
1,CUTLASS,gemm,cutlass_simt_sgemm_128x64_8x2_nt_align1,passed,success,universal,4096,4096,4096,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,64,8,1,1,1,1,1,1,2,2,2,1,1,1,1,50,1024,201326592,137472507904,682,5.1394,36.4829,26748.8
1,CUTLASS,gemm,cutlass_simt_sgemm_64x128_8x2_nt_align1,passed,success,universal,4096,4096,4096,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,64,128,8,1,1,1,1,1,1,2,2,2,1,1,1,1,50,1024,201326592,137472507904,682,3.51086,53.4058,39156.4
1,CUTLASS,gemm,cutlass_simt_sgemm_64x64_8x2_nt_align1,passed,success,universal,4096,4096,4096,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,64,64,8,1,1,1,1,1,1,2,2,1,1,1,1,1,50,1024,201326592,137472507904,682,5.52439,33.9404,24884.6
1,CUTLASS,gemm,cutlass_simt_sgemm_128x32_8x2_nt_align1,passed,success,universal,4096,4096,4096,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,32,8,1,1,1,1,1,1,2,2,1,1,1,1,1,50,1024,201326592,137472507904,682,6.63759,28.2482,20711.2
1,CUTLASS,gemm,cutlass_simt_sgemm_32x128_8x2_nt_align1,passed,success,universal,4096,4096,4096,f32:column,f32:row,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,32,128,8,1,1,1,1,1,1,2,1,2,1,1,1,1,50,1024,201326592,137472507904,682,3.87749,48.356,35454
1,CUTLASS,gemm,cutlass_simt_sgemm_128x128_8x2_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,128,8,1,1,1,1,1,1,2,4,2,1,1,1,1,50,1024,201326592,137472507904,682,3.62811,51.6799,37891
1,CUTLASS,gemm,cutlass_simt_sgemm_128x64_8x2_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,64,8,1,1,1,1,1,1,2,2,2,1,1,1,1,50,1024,201326592,137472507904,682,4.55772,41.139,30162.6
1,CUTLASS,gemm,cutlass_simt_sgemm_64x128_8x2_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,64,128,8,1,1,1,1,1,1,2,2,2,1,1,1,1,50,1024,201326592,137472507904,682,3.72309,50.3614,36924.3
1,CUTLASS,gemm,cutlass_simt_sgemm_64x64_8x2_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,64,64,8,1,1,1,1,1,1,2,2,1,1,1,1,1,50,1024,201326592,137472507904,682,4.45371,42.0998,30867
1,CUTLASS,gemm,cutlass_simt_sgemm_128x32_8x2_tn_align1,passed,success,universal,4096,4096,4096,f32:row,f32:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,false,false,1,simt,f32,128,32,8,1,1,1,1,1,1,2,2,1,1,1,1,1,50,1024,201326592,137472507904,682,5.43206,34.5173,25307.6
